,0
poi_mall_count_1500m,0.0
poi_hospital_count_1500m,0.0
poi_restaurant_count_1500m,0.0
poi_pharmacy_count_1500m,0.0
competitor_count_1500m,0.009274897
poi_count_1500m,0.009805719
poi_school_count_1500m,0.010060536
poi_park_count_1500m,0.011129926
nearest_poi_bus_stop_m,0.021136833
nearest_competitor_m,0.02134271
nearest_poi_school_m,0.021977203
nearest_poi_m,0.024526475
building_count_1500m,0.02568942
nearest_poi_restaurant_m,0.025827616
signals_1500m,0.033223845
nearest_poi_bank_m,0.03995768
nearest_poi_mall_m,0.040262494
residential_ratio_1500m,0.042828277
nearest_poi_hospital_m,0.047381762
poi_bank_count_1500m,0.051472947
poi_bus_stop_count_1500m,0.05691667
nearest_poi_park_m,0.06422912
population_1500m,0.13984971
unique_users_1500m,0.14038016
nearest_poi_pharmacy_m,0.16272594
